skin_bart,shirt_bart,shoes_bart,skin_homer,shirt_homer,shoes_homer,skin_marge,shirt_marge,shoes_marge,class
0.0,0.0,0.0,0.0,0.0,0.22759944681005934,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.18968790730610946,0.0,0.0,0.00023604511540553576,bart
0.0,0.0,0.0,0.0,0.0,0.17764695606603198,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.04645817145817146,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.14987580912238446,0.0,0.0,3.76335992774349e-05,bart
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007971635256044165,bart
0.0,0.0,0.0,0.0,0.0,0.2969803370786517,0.0,0.0,0.0009028892455858748,bart
0.0,0.0,0.0,0.0,0.0,0.0005771812080536913,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.1989986799317428,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.18127820805705688,0.0,0.0,0.0006797793503092439,bart
0.0,0.0,0.0,0.0,0.0,0.10965695666764091,0.0,0.0,0.0005304235811169206,bart
0.0,0.0,0.0,0.0,0.0,0.20120361990950225,0.0,0.0,0.00017194570135746606,bart
0.0,0.0,0.0,0.00044821731748726656,0.0,0.13207809847198643,0.0,0.0,0.0002105263157894737,bart
0.0,0.0,0.0,0.0,0.0,0.07015154806262427,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.240591397849462e-05,bart
0.0,0.0,0.0,1.7328019407381735e-05,0.0,0.3916219026165309,0.0,0.0,0.00011263212614798129,bart
0.0,0.0,0.0,5.835361121322993e-05,0.0,0.26275464057093173,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.16881242197253432,0.0,0.0,0.00015605493133583021,bart
0.0,0.0,0.0,0.0,0.0,0.13705358292350078,0.0,0.0,0.0008368308571722842,bart
0.0,0.0,0.0,0.0,0.0,0.184424017926556,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.003041661546024333,0.0,0.0,0.0009831633280078652,bart
0.0,0.0,0.0,0.0,0.0,0.1816542261724986,0.0,0.0,0.0007809466281227078,bart
0.0,0.0,0.0,0.0,0.0,0.2971673171345839,0.0,0.0,0.0001384867178647866,bart
0.0,0.0,0.0,0.0,0.0,0.09456264775413711,0.0,0.0,0.0011741703490535872,bart
0.0,0.0,0.0,0.0,0.0,0.12956287389173554,0.0,0.0,0.00016307473114126564,bart
0.0,0.0,0.0,0.0,0.0,0.17137209926551328,0.0,0.0,0.0,bart
0.0,0.0,0.0,0.0,0.0,0.002455357142857143,0.0,0.0,0.002589285714285714,bart
0.0,0.0,0.0,0.0,0.0,0.5645318155003907,0.0,0.0,7.971811673921015e-05,bart
0.0,0.0,0.0,0.0,0.0,0.06041820385791082,0.0,0.0,0.00046774533572256774,bart
0.0,0.0,0.0,0.0,0.0,0.1155214424951267,0.0,0.0,0.0003508771929824561,bart
